PointID,SurveyMethod,VisitNum,SurveyDate,Observer,Tide,SurveyTime,TempF,Sky,WindSp,Noise,AlphaCode,Distance,DistBand,CallType,TotalCount,Pass0-1,Pass1-2,Pass2-3,Pass3-4,Pass4-5,BLRA,LEBI,SORA,VIRA,KIRA,CLRA,AMBI,COMO,SOSP,Outside,Comments
75809_p1,motorboat/foot,3,19-Jul-11,DY,Low/Falling,7:19 AM,65,2,3,2,SESP,-,>100m,-,2,0,1,0,0,0,0,0,NA,0,0,0,NA,1,0,0,
243620_HMD433,foot,1,24-May-11,MB,High,5:53 AM,70,1,1,2,ABDU,-,>100m,-,1,0,0,1,0,0,0,0,NA,0,0,0,NA,0,0,0,
243620_p3,motorboat/foot,1,24-May-11,DY,High/Falling,10:02 AM,75,1,2,0,ABDU,-,>100m,-,1,0,0,0,0,0,0,0,NA,0,0,0,NA,1,0,0,
244007_HMD340,vehicle,2,15-Jun-11,MDT,Low/Falling,7:24 AM,65,0,3,2,ABDU,-,>100m,-,1,0,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,
244007_HMD347,foot,1,12-May-11,DY,Low/Rising,7:41 AM,68,0,2,0,ABDU,-,>100m,-,3,0,0,0,0,0,0,0,NA,0,3,0,NA,0,0,0,
244007_HMD347,vehicle,2,15-Jun-11,MDT,Low/Falling,7:49 AM,66,0,1,1,ABDU,-,>100m,-,1,0,0,0,0,0,0,1,NA,0,0,0,NA,0,0,0,
244007_HMD368,vehicle/foot,1,12-May-11,MB,Low/Rising,5:59 AM,54,0,0,1,ABDU,-,>100m,-,6,0,0,2,0,0,0,4,NA,0,0,0,NA,0,0,0,
244007_HMD372,foot,1,12-May-11,DY,Low/Rising,6:17 AM,58,1,0,2,ABDU,-,>100m,-,1,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,
244007_p7,foot,1,12-May-11,MB,High/Rising,8:38 AM,65,0,1,1,ABDU,-,>100m,-,1,0,0,0,0,0,0,0,NA,1,0,0,NA,0,0,0,
244007_p7,motorboat/foot,3,1-Jul-11,DY,Low,9:02 AM,75,0,2,0,ABDU,-,>100m,-,3,2,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,
244401_HMD426,vehicle/foot,2,17-Jun-11,DY,Low/Falling,8:08 AM,72,1,4,1,ABDU,-,>100m,-,3,3,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,
244794_HMD480,vehicle/foot,1,23-May-11,MDT,NA,5:50 AM,61,2,3,2,ABDU,-,>100m,-,1,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,
244794_HMD480,vehicle/foot,2,23-Jun-11,MB,High/Rising,5:42 AM,68,1,4,2,ABDU,-,>100m,-,4,0,0,0,4,0,0,0,NA,0,0,0,NA,0,0,0,
244794_HMD487,vehicle,1,23-May-11,MDT,NA,7:04 AM,65,2,3,2,ABDU,-,>100m,-,1,0,1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,
